Qt,Qt-1,St-1,St
11.4,13,1690,345
11.2,11.4,345,88
12.3,11.2,88,2550
19.7,12.3,2550,7620
16.9,19.7,7620,1760
13.3,16.9,1760,992
11.6,13.3,992,229
11.1,11.6,229,116
10.8,11.1,116,49
10.5,10.8,49,40
10.2,10.5,40,39
9.91,10.2,39,41
9.63,9.91,41,42
9.34,9.63,42,31
9.2,9.34,31,27
9.26,9.2,27,34
9.06,9.26,34,26
8.69,9.06,26,23
8.58,8.69,23,39
8.61,8.58,39,37
8.69,8.61,37,36
8.69,8.69,36,35
8.78,8.69,35,37
8.78,8.78,37,23
8.78,8.78,23,36
8.78,8.78,36,28
9.68,8.78,28,45
9.26,9.68,45,41
8.27,9.26,41,28
8.07,8.27,28,22
6.97,8.07,22,13
6.31,6.97,13,18
6.06,6.31,18,15
5.95,6.06,15,11
5.78,5.95,11,5
5.69,5.78,5,11
5.61,5.69,11,13
5.58,5.61,13,9.6
5.49,5.58,9.6,30
5.49,5.49,30,19
5.38,5.49,19,21
5.24,5.38,21,21
5.3,5.24,21,22
5.27,5.3,22,18
5.3,5.27,18,17
5.21,5.3,17,6.5
5.18,5.21,6.5,21
5.15,5.18,21,12
5.13,5.15,12,9.3
5.13,5.13,9.3,11
5.13,5.13,11,8.3
5.07,5.13,8.3,7.7
5.07,5.07,7.7,9.7
5.04,5.07,9.7,17
4.81,5.04,17,23
4.11,4.81,23,7.4
3.68,4.11,7.4,6.7
3.54,3.68,6.7,6.8
3.4,3.54,6.8,20
3.26,3.4,20,23
3.11,3.26,23,27
3.11,3.11,27,35
3.68,3.11,35,32
4.25,3.68,32,27
3.96,4.25,27,21
3.26,3.96,21,19
2.97,3.26,19,16
3.11,2.97,16,17
3.4,3.11,17,15
3.68,3.4,15,9.5
3.96,3.68,9.5,17
4.25,3.96,17,18
4.53,4.25,18,16
5.1,4.53,16,20
5.66,5.1,20,22
5.95,5.66,22,26
7.36,5.95,26,21
9.06,7.36,21,31
11.3,9.06,31,94
12.7,11.3,94,90
13,12.7,90,99
12.7,13,99,103
12.2,12.7,103,93
12.7,12.2,93,91
13.6,12.7,91,110
13.9,13.6,110,108
13.9,13.9,108,108
13.9,13.9,108,102
13.9,13.9,102,106
13.9,13.9,106,111
