D,L,N30_Ava,Cu_Ava,N30_Base,Cu_Base,UL,Q ,S_exp 
1,42,17.064286,54.380952,50,0,1,1081.31,0.645161
1.08,25.5,27.176471,64.705882,50,0,2,3493.24,2.49336
0.8,25,27.24,0,50,0,1,2961.54,2.84559
0.8,28,40.607143,0,92,0,2,2127.45,2.00188
1,34,6.903614,86.445783,50,0,2,759.602,5.36193
1,38,26.631579,49.539474,50,0,1,0,0
1,34,6.741176,89.117647,50,0,1,4481.01,4.1046
1,15,14.986667,4.841667,40,0,1,2191.76,1.88018
1.08,25.5,27.176471,64.705882,50,0,1,3493.24,1.99779
1.08,40,5.1375,16.75,0,27.5,2,0,2.14634
1,42,17.064286,54.380952,50,0,1,2741.5,2.15668
0.8,24,5.741935,23.870968,0,50,1,2025,3.070441
1,34,13.5,110.544118,45,0,1,5233.33,6.63551
0.8,28,40.607143,0,92,0,2,1269.61,1.50141
1.2,43.5,9.195402,51.270115,0,150,2,7989.28,16.4455
1,34,6.741176,89.117647,50,0,2,1503.8,5.72385
0.8,24,5.483871,20,0,40,1,0,0
1,15,14.986667,4.841667,40,0,1,3832.94,4.46083
1,32,15.4375,56.265625,50,0,2,2196.29,2.18487
1.08,22,23.295455,74.25,50,0,2,1798.64,9.44348
1,34,6.903614,86.445783,50,0,2,4506.4,8.0429
1.2,57,10.015789,55.842105,50,0,2,2506.67,85
0.8,16.6,23.795181,19.879518,50,0,1,4000,30.7692
1.2,57,22.280702,43.026316,50,0,2,0,18.1132
1,18,27.444444,5.555556,50,0,1,3292.68,3.85167
1.2,57,22.280702,43.026316,50,0,1,17518.6,25.4717
0.8,35,10.228571,8.071429,50,0,1,1341.74,0.345794
1,18,27.444444,5.555556,50,0,1,1097.56,0.602871
0.8,24,9.975,55.28125,42,0,2,0,1.96262
1,18,27.444444,5.555556,50,0,1,542.005,0.23445
0.8,46.9,10.681818,27.97619,50,0,1,2247.09,1.57725
1,32,15.4375,56.265625,50,0,1,3294.43,2.42017
0.8,20,28.5,18.75,45,0,1,3501.18,7.20909
1.08,40,5.1375,16.75,0,27.5,1,1500,1.98374
0.8,16.6,23.795181,19.879518,50,0,2,3492.06,28.5812
0.8,24,9.975,55.28125,42,0,2,1591.69,4.57009
1,34,6.741176,89.117647,50,0,1,6000,8.84937
1.2,70,18.214286,14.142857,50,0,1,3000,2.86175
0.8,20,28.5,18.75,45,0,2,1007.06,6.97273
1.08,25.5,27.176471,64.705882,50,0,2,0,0.634956
0.8,25,27.24,0,50,0,1,1701.92,1.25735
1,34,13.5,110.544118,45,0,2,3733.33,8.41121
1.2,57,10.015789,55.842105,50,0,1,20000,95
1,43.5,3.317241,105.408046,50,0,2,1491.34,61.0306
1,35.5,13.321127,80.430986,50,0,1,0,0
1.08,25.5,27.176471,64.705882,50,0,1,1739.19,0.665929
0.8,24,6.258065,23.870968,0,50,2,1687.5,3.17875
1.2,43.6,14.862385,41.559633,0,20,1,14460.7,40.4661
0.8,28,40.607143,0,92,0,1,1269.61,0.500469
0.8,24,5.741935,23.870968,0,50,1,1687.5,2.0815
1.08,22,23.295455,74.25,50,0,2,5395.93,11.3217
0.8,16.6,23.795181,19.879518,50,0,2,2486.77,22.9744
0.8,24,8.875,17.708333,0,50,1,1012.5,1.195833
1,18,27.444444,5.555556,50,0,2,1097.56,4.78947
1.08,40,5.1375,16.75,0,27.5,2,1747.71,3.69106
1,32,15.4375,56.265625,50,0,1,2733.42,1.84874
0.8,35,10.228571,8.071429,50,0,1,447.248,0.107477
0.8,46.9,10.681818,27.97619,50,0,2,745.921,0.916309
1,42,17.064286,54.380952,50,0,1,2195.39,1.89862
0.8,16.6,23.795181,19.879518,50,0,1,3502.65,19.4188
0.8,35,10.228571,8.071429,50,0,2,447.248,0.457944
1,41,15.731707,50.243902,43,0,2,1075.61,6.41176
1,32.5,17.573846,37.615385,50,0,1,0,0
1.2,70,18.214286,14.142857,50,0,1,0,0
0.8,25,27.24,0,50,0,1,403.846,0.242647
0.8,16.6,23.795181,19.879518,50,0,1,2497.35,10.1197
0.8,24,5.483871,20,0,40,1,2025,2.867941
1.2,43.5,3.241379,106.074713,50,0,2,3768.12,78.903
0.8,16.6,23.795181,19.879518,50,0,2,1005.29,19.1453
1.08,25.5,27.176471,64.705882,50,0,1,2616.22,1.2854
1,49.5,15.879032,63.165323,0,200,2,8980.86,83.5443
0.8,24,5.032258,20,0,40,2,1687.5,2.57375
0.8,24,9.975,55.28125,42,0,2,393.643,3.02804
1,34,6.903614,86.445783,50,0,1,1493.6,1.0992
1.08,40,5.1875,11.875,0,31,1,1150,0.969912
1.2,57,10.015789,55.842105,50,0,2,4960,85.5
1,34,6.741176,89.117647,50,0,1,0,0
1.2,43.6,14.862385,41.559633,0,20,1,8696.63,8.68644
1,35.5,13.321127,80.430986,50,0,1,2985.71,2.29596
1,32.5,17.573846,37.615385,50,0,2,1094.13,3.42515
1,33,20.878788,31.606061,50,0,1,3281.77,5.55665
0.8,16.6,23.795181,19.879518,50,0,1,486.772,1.36752
0.8,46.9,10.681818,27.97619,50,0,2,3002.33,2.89914
1,34,6.903614,86.445783,50,0,1,6000,8.98123
1.2,38,9.210526,25,50,0,1,3986.45,6.1326
0.8,25,27.24,0,50,0,1,3403.85,4.14706
1,41,15.731707,50.243902,43,0,1,2129.27,1.82353
1,34,6.903614,86.445783,50,0,1,3004.27,2.76139
1,43,14.813953,37.093023,35,0,2,10932.2,91.4497
0.8,25,27.24,0,50,0,1,2548.08,2.27206
1,35.5,28.4,36.676056,50,0,2,741.259,4.8125
1,46.5,12.365591,7.419355,50,0,2,11250,78.0178
1,43.5,3.317241,105.408046,50,0,1,7496.67,25.1532
1,49.5,15.879032,63.165323,0,200,1,1520.27,3.79747
0.8,28,40.607143,0,92,0,1,420.343,0.048826
0.8,24,9.975,55.28125,42,0,2,1993.89,4.90654
1,35.5,13.321127,80.430986,50,0,2,5257.14,7.56951
0.8,16.6,23.795181,19.879518,50,0,2,486.772,17.9145
0.8,24,8.875,17.708333,0,50,1,1687.5,2.326
0.8,20,28.5,18.75,45,0,2,1995.29,9.75
1,32.5,17.573846,37.615385,50,0,1,3296.22,3.6003
1.2,43.6,14.862385,41.559633,0,20,2,2865.17,43.2203
1,49.5,15.879032,63.165323,0,200,2,2984.23,77.4684
1.2,43.5,9.195402,51.270115,0,150,2,2010.72,10.3909
1.2,43.5,3.241379,106.074713,50,0,1,10000,89.4515
1.2,70,18.214286,14.142857,50,0,1,9000,16.424
0.8,24,9.975,55.28125,42,0,1,795.844,0.813084
1,49.5,15.879032,63.165323,0,200,2,7488.74,81.2658
0.8,24,5.741935,23.870968,0,50,1,1350,1.3645
1,46.5,12.365591,7.419355,50,0,1,0,0
0.8,46.9,10.681818,27.97619,50,0,1,1118.88,0.600858
1.2,43.5,3.241379,106.074713,50,0,1,5000,7.173
1.2,57,22.280702,43.026316,50,0,2,5012.41,20.566
1.2,57,22.280702,43.026316,50,0,1,20000,34.9057
1.2,43.6,14.862385,41.559633,0,20,1,11561.8,14.4068
0.8,28,40.607143,0,92,0,1,3388.48,2.50235
1,32.5,17.573846,37.615385,50,0,2,535.676,2.82186
1.2,43.6,14.862385,41.559633,0,20,1,4348.31,3.17797
1,43,14.813953,37.093023,35,0,1,1546.61,0.976331
1,35.5,13.321127,80.430986,50,0,1,6000,7.56951
0.8,20,28.5,18.75,45,0,1,3002.35,6.08636
1,32,15.4375,56.265625,50,0,1,0,0
1.2,43.6,14.862385,41.559633,0,20,1,1415.73,1.27119
1.2,57,10.015789,55.842105,50,0,1,12480,33
0.8,28,40.607143,0,92,0,2,420.343,0.842254
1,34,13.5,110.544118,45,0,2,0,4.20561
0.8,24,8.875,17.708333,0,50,1,1350,1.65975
1.2,70,18.214286,14.142857,50,0,2,0,4.47926
1,42,17.064286,54.380952,50,0,1,1638.35,1.23502
